,phrase,label,sentiment,subjectivity,language,count
Neue Stärke Partei,Neue Stärke Partei,ORG,0.0,0.0,de,3
Liberale Partei,Liberale Partei,ORG,0.18333333333333332,0.0,de,3
Donnerstag mittei…,Donnerstag mittei…,ORG,0.0,0.0,de,3
Oberligisten,Oberligisten,ORG,0.0,0.0,de,3
FSV Mainz 05,FSV Mainz 05,ORG,0.5666666666666667,0.0,de,3
FC Liverpool,FC Liverpool,ORG,0.6666666666666666,0.0,de,3
Getty Images,Getty Images,ORG,0.07777777777777777,0.0,de,3
FC Saarbrücken,FC Saarbrücken,ORG,0.3333333333333333,0.0,de,3
Nationalspielerin,Nationalspielerin,ORG,0.0,0.0,de,3
FC Erzgebirge,FC Erzgebirge,ORG,0.0,0.0,de,3
Labour-Partei,Labour-Partei,ORG,0.0,0.0,de,3
Zürich,Zürich,ORG,-0.2333333333333333,0.0,de,3
Eu,Eu,ORG,-0.11666666666666665,0.0,de,3
FC Erzgebirge Aue,FC Erzgebirge Aue,ORG,-0.4666666666666666,0.0,de,3
Bundesliga-Start,Bundesliga-Start,ORG,0.0,0.0,de,3
FC Ingolstadt,FC Ingolstadt,ORG,0.0,0.3333333333333333,de,3
Bundesliga-Spiele,Bundesliga-Spiele,ORG,0.2333333333333333,0.0,de,3
PARTEI,PARTEI,ORG,-0.4666666666666666,0.0,de,3
TM-Interview,TM-Interview,ORG,0.3333333333333333,0.0,de,3
Europaparlaments,Europaparlaments,ORG,-0.2333333333333333,0.0,de,3
Mönchengladbach,Mönchengladbach,ORG,-0.3333333333333333,0.0,de,3
Freiburg-Stars!,Freiburg-Stars!,ORG,0.0,0.0,de,3
Bank,Bank,ORG,-0.3333333333333333,0.0,de,3
Sport-Clubs,Sport-Clubs,ORG,0.0,0.0,de,3
Werder,Werder,ORG,0.3333333333333333,0.0,de,3
SSV Ulm 1846,SSV Ulm 1846,ORG,0.0,0.0,de,3
Standard Lüttich,Standard Lüttich,ORG,0.3333333333333333,0.16666666666666666,de,3
die Linke,die Linke,ORG,0.0,0.0,de,3
Freibu,Freibu,ORG,0.0,0.0,de,3
Energie Cottbus,Energie Cottbus,ORG,-0.4666666666666666,0.0,de,3
Tuchel-PK,Tuchel-PK,ORG,0.0,0.0,de,2
Marokko,Marokko,ORG,1.0,0.0,de,2
Twitter,Twitter,ORG,0.0,0.0,de,2
deutschen U21-Nationalmannschaft,deutschen U21-Nationalmannschaft,ORG,0.0,0.0,de,2
Saudi-Arabien,Saudi-Arabien,ORG,-0.5,0.0,de,2
BVB-Sorgen,BVB-Sorgen,ORG,0.0,0.0,de,2
Bundesligaspiele,Bundesligaspiele,ORG,0.0,0.0,de,2
Ligarivale Wolfsburg,Ligarivale Wolfsburg,ORG,0.0,0.0,de,2
EU-Politiker,EU-Politiker,ORG,0.7,0.0,de,2
Bundesligakonkurrent,Bundesligakonkurrent,ORG,0.0,0.0,de,2
FC Bayern,FC Bayern,ORG,1.0,0.0,de,2
Europa-League-Achtelfinals,Europa-League-Achtelfinals,ORG,0.0,0.0,de,2
Spitzenreiter FC Bayern,Spitzenreiter FC Bayern,ORG,0.0,0.0,de,2
Zweitliga-Absteiger SV Sandhausen,Zweitliga-Absteiger SV Sandhausen,ORG,0.0,0.0,de,2
VfL...,VfL...,ORG,0.0,0.0,de,2
SC-Fans,SC-Fans,ORG,0.0,0.0,de,2
SPORT1,SPORT1,ORG,-0.925,0.0,de,2
Ex-Chefredakteur,Ex-Chefredakteur,ORG,-0.925,0.0,de,2
SCB,SCB,ORG,0.0,0.0,de,2
Rekorde,Rekorde,ORG,-0.5,0.0,de,2
Bensebaini,Bensebaini,ORG,0.0,0.5,de,2
Washington Post,Washington Post,ORG,0.05833333333333333,0.16666666666666666,de,2
LIVE,LIVE,ORG,0.0,0.0,de,2
österreichische Nationalspieler,österreichische Nationalspieler,ORG,0.0,0.0,de,2
Heidenheim,Heidenheim,ORG,-0.35,0.5,de,2
Körperlich,Körperlich,ORG,0.0,0.0,de,2
Parlamentarier,Parlamentarier,ORG,0.0,0.0,de,2
DFB-Auswahl,DFB-Auswahl,ORG,0.0,0.0,de,2
